brand,name,address,latitude,longitude
Coles Express,Coles Express Kingsgrove,"137-141 Kingsgrove Road, Kingsgrove NSW 2208",-33.932785,151.099086
Coles Express,Coles Express Bega,"2-6 Swan St, Bega NSW 2550",-36.673879,149.838173
7-Eleven,7-Eleven Pendle Hill,"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145",-33.80187,150.957827
Coles Express,Coles Express Bowral,"430 Bong Bong St (Cnr Bowral St), Bowral NSW 2576",-34.48268,150.417354
Coles Express,Coles Express Goulburn,"90 Cowper St (Cnr Clinton St), Goulburn NSW 2580",-34.755637,149.711462
7-Eleven,7-Eleven Penshurst,"612 Forest Road, Penshurst NSW 2222",-33.961504,151.079228
Coles Express,Coles Express St Helens Park,"Lot 201 Appin Road, St Helens Park NSW 2560",-34.111953,150.798563
7-Eleven,7-Eleven Mount Druitt,"Lot 6 Luxford Road, Mount Druitt NSW 2770",-33.764921,150.82627
Coles Express,Coles Express Killarney Vale,"102 - 106 Wyong Road, Killarney Vale NSW 2261",-33.367288,151.46491
7-Eleven,7-Eleven Minto,"Lot 1 Ben Lomond Road, MINTO NSW 2566",-34.031754,150.850253
Coles Express,Coles Express Picton,"93-99 Argyle Street, Picton NSW 2571",-34.168556,150.611545
7-Eleven,7-Eleven Georges Hall,"Corner Marion Street & 48 Surrey Avenue, Georges Hall NSW 2198",-33.915626,150.997738
Coles Express,Coles Express Leppington,"1443 Camden Valley Way, Leppington NSW 2171",-33.966367,150.815605
BP,BP Kingsford,"368 Anzac Parade, Kingsford NSW 2032",-33.919683,151.226795
BP,BP Macarthur,"Cnr Campbelltown & Blaxland Roads, Campbelltown NSW 2560",-34.053178,150.823322
BP,BP Minchinbury,"1055 Great Western Highway, Minchinbury NSW 2770",-33.781986,150.824399
Coles Express,Coles Express Campbelltown,"27 Queen Street, Campbelltown NSW 2560",-34.060434,150.819361
Coles Express,Coles Express Minto,"73 Pembroke Rd (Cnr Durham St), Minto NSW 2566",-34.023584,150.850483
7-Eleven,7-Eleven Eastern Creek,"Lot 16 - 25 Great Western Highway, Eastern Creek NSW 2766",-33.787953,150.849664
Coles Express,Coles Express Doonside,"427 Bungarribee Road, Doonside NSW 2767",-33.772924,150.87627
Coles Express,Coles Express Liverpool,"338-340 Hume Highway, Liverpool NSW 2170",-33.93145,150.917675
Coles Express,Coles Express Bathurst,"298 Stewart St (Cnr Rocket St), Bathurst NSW 2795",-33.419053,149.56761
7-Eleven,7-Eleven Lambton,"21 Croudace & De Vitre Streets, Lambton NSW 2299",-32.910413,151.705176
Coles Express,Coles Express Waterloo,"867-869 South Dowling Street, Waterloo NSW 2017",-33.901856,151.214387
Coles Express,Coles Express Orange,"Summer St & Sale St, Orange NSW 2800",-33.283138,149.096248
Coles Express,Coles Express Mount Annan,"241 Waterworth Drive, Mount Annan NSW 2567",-34.049459,150.760159
Coles Express,Coles Express Wallsend,"14 Thomas St, Wallsend NSW 2287",-32.906722,151.669265
BP,BP Carlingford,"712 Pennant Hills Road, Carlingford NSW 2118",-33.763701,151.047355
BP,BP Chinderah T/C,"68-89 Ozone Street, Chinderah NSW 2487",-28.243748,153.557582
